n_server,dist_wait,dist_serve,priority,preempt,avg_waiting_time,avg_system_time,avg_utilization
1,expovariate,expovariate,False,False,23.994421508082695,24.99220467387974,0.0008323847064386978
1,expovariate,expovariate,False,False,40.56336039702113,41.55721487142096,0.0007610097841290968
1,expovariate,expovariate,False,False,86.64046059163225,87.64437617245206,0.0008466065903621723
1,expovariate,expovariate,False,False,22.26737466221974,23.26687368012716,0.0007887918648177128
1,expovariate,expovariate,False,False,29.633598362653437,30.62910878289651,0.0008333404108707608
1,expovariate,expovariate,False,False,56.87957698763224,57.88743439488696,0.0008314578302199121
1,expovariate,expovariate,False,False,39.08536781692079,40.08200566857502,0.0008275392637018265
1,expovariate,expovariate,False,False,37.080306182855715,38.07706854633316,0.0008085520709437363
1,expovariate,expovariate,False,False,25.450501540379193,26.44489321003122,0.0008736175266486856
1,expovariate,expovariate,False,False,84.90693784258498,85.91064038525202,0.0007528149488688662
2,expovariate,expovariate,False,False,14.837271888196387,15.836847581412815,0.0008309752665259744
2,expovariate,expovariate,False,False,17.90530087225455,18.895292064322774,0.0007894476364782651
2,expovariate,expovariate,False,False,37.442793754749836,38.447569299237024,0.0008502249210351448
2,expovariate,expovariate,False,False,10.921365882487992,11.916560519619168,0.0008152844669186006
2,expovariate,expovariate,False,False,21.822964902316556,22.826592379217214,0.0008432070423291555
2,expovariate,expovariate,False,False,25.356951337327843,26.357751642525496,0.0008568495428941637
2,expovariate,expovariate,False,False,22.80381209173918,23.800683889338288,0.0008643168823447058
2,expovariate,expovariate,False,False,36.958820658254055,37.95678803731002,0.0008369217864139223
2,expovariate,expovariate,False,False,17.153812073853075,18.14847830561949,0.0008930041743404288
2,expovariate,expovariate,False,False,116.25644814008191,117.26497872775808,0.0007839326780546643
4,expovariate,expovariate,False,False,9.583518980505218,10.584184881028754,0.0008355708781818802
4,expovariate,expovariate,False,False,9.397895372222715,10.395521472308323,0.0008184346452422232
4,expovariate,expovariate,False,False,22.629487334766402,23.632137349584355,0.0008469727093419706
4,expovariate,expovariate,False,False,5.547595518513609,6.539793701923193,0.0008323498311901702
4,expovariate,expovariate,False,False,9.130500869139976,10.123721084712464,0.0008459336505517607
4,expovariate,expovariate,False,False,17.693193374357552,18.695987133498054,0.0008770170703268816
4,expovariate,expovariate,False,False,30.11239041585647,31.112409833905044,0.0008853312935028087
4,expovariate,expovariate,False,False,25.058689329633214,26.058228649393474,0.0008473260543587584
4,expovariate,expovariate,False,False,20.369128600095465,21.36845409347416,0.0008958856967331912
4,expovariate,expovariate,False,False,54.322808777681566,55.323245923437106,0.0008016027472496495
1,expovariate,expovariate,True,False,5.961575652487372,6.954435578671688,0.0008283075981684093
1,expovariate,expovariate,True,False,8.297343288250817,9.2903260297961,0.000761002594090161
1,expovariate,expovariate,True,False,16.575358158278647,17.577823433416867,0.0008480698062171889
1,expovariate,expovariate,True,False,5.950829350542723,6.948685937033631,0.0007875073869334907
1,expovariate,expovariate,True,False,7.195450458571337,8.189338887670738,0.0008337810455877896
1,expovariate,expovariate,True,False,9.742811069344112,10.745113658450878,0.0008281731080773243
1,expovariate,expovariate,True,False,8.068462471579709,9.058296191025123,0.000824289232276911
1,expovariate,expovariate,True,False,8.077562014614568,9.066008109209479,0.0008055591069913249
1,expovariate,expovariate,True,False,6.15208593036642,7.1444384922815525,0.0008815636572686082
1,expovariate,expovariate,True,False,8.812399011186288,9.795960106679837,0.000737940970228702
2,expovariate,expovariate,True,False,3.298647735217466,4.292533779016408,0.0008260615196053236
2,expovariate,expovariate,True,False,4.084919765779267,5.072255850322133,0.000789582463455662
2,expovariate,expovariate,True,False,7.4584726466456415,8.460046851034669,0.0008468401145105313
2,expovariate,expovariate,True,False,3.1353976797963754,4.129071128421276,0.0008140490654949995
2,expovariate,expovariate,True,False,4.839985765086025,5.840495688952694,0.0008414437606804315
2,expovariate,expovariate,True,False,5.6054810303540705,6.603928252783474,0.000856039526342493
2,expovariate,expovariate,True,False,5.334146712447366,6.329015623307549,0.0008642801988826674
2,expovariate,expovariate,True,False,6.3024210498805395,7.293556200093785,0.0008365150943736758
2,expovariate,expovariate,True,False,3.7600063177520906,4.751427963450736,0.0008917335536711307
2,expovariate,expovariate,True,False,9.347285108113823,10.338128343035892,0.0007703184959216048
4,expovariate,expovariate,True,False,2.2605513121776495,3.2595334861026384,0.0008339955314677599
4,expovariate,expovariate,True,False,2.303517807822676,3.299371254334985,0.0008169555048218258
4,expovariate,expovariate,True,False,4.583423161389667,5.582725450147835,0.0008440166399910943
4,expovariate,expovariate,True,False,1.6498728296822591,2.6419372755244988,0.0008318203344620912
4,expovariate,expovariate,True,False,2.2879663599032454,3.281048892205815,0.0008479037875190899
4,expovariate,expovariate,True,False,3.7922389295061483,4.793943706033511,0.0008763457091697952
4,expovariate,expovariate,True,False,4.7339784779103296,5.728539193341724,0.0008818521142961802
4,expovariate,expovariate,True,False,4.489361576349043,5.486761434425747,0.0008493336639633246
4,expovariate,expovariate,True,False,3.534066246819135,4.528743971104358,0.0008915292331811813
4,expovariate,expovariate,True,False,9.051733502903268,10.050434518145309,0.0007998394569324586
1,expovariate,lognormal,False,False,31.37972107769071,32.37661431436577,0.0008769642374485579
1,expovariate,lognormal,False,False,43.049166206973304,44.0283299632135,0.0006982725354928722
1,expovariate,lognormal,False,False,68.11089271842222,69.10820837443488,0.0009084422491146874
1,expovariate,lognormal,False,False,40.16914722697575,41.1681760519107,0.0008623759157193018
1,expovariate,lognormal,False,False,50.73547817900268,51.73404782048584,0.00073645733360165
1,expovariate,lognormal,False,False,82.99394935571178,84.00497687708679,0.0007459968273358323
1,expovariate,lognormal,False,False,28.942358131050707,29.927412745630825,0.0009317186215684296
1,expovariate,lognormal,False,False,30.84272684589316,31.83210810011983,0.0007500757313429361
1,expovariate,lognormal,False,False,76.92388119328054,77.90996604714502,0.0008684075731901687
1,expovariate,lognormal,False,False,154.44878756095838,155.46986092500822,0.0008045643656647123
2,expovariate,lognormal,False,False,18.494398640048033,19.495136651672986,0.0008841188483058358
2,expovariate,lognormal,False,False,42.961218362146035,43.972561368824834,0.000766582217660735
2,expovariate,lognormal,False,False,32.17063745149853,33.17229963634879,0.0008722830963953188
2,expovariate,lognormal,False,False,23.77776039502656,24.785475122279355,0.0009072331846879902
2,expovariate,lognormal,False,False,26.455914455820658,27.457062301484054,0.0008054691665956718
2,expovariate,lognormal,False,False,39.981222811579016,40.98488047887474,0.0008128852928479994
2,expovariate,lognormal,False,False,57.960584689475354,58.97704792771068,0.000942495269073256
2,expovariate,lognormal,False,False,20.75999547352115,21.750874431868027,0.0008034063754851326
2,expovariate,lognormal,False,False,103.59197885376913,104.60197300748699,0.0008766828716994431
2,expovariate,lognormal,False,False,17.56567165644069,18.560573064919076,0.0008096813561613211
4,expovariate,lognormal,False,False,16.362140012761923,17.36686304529368,0.0008551273106100488
4,expovariate,lognormal,False,False,18.50541682619883,19.501770590240113,0.0007740742239386427
4,expovariate,lognormal,False,False,11.354529626148624,12.348818959447357,0.0008538935195112537
4,expovariate,lognormal,False,False,12.763543478326383,13.763076245587323,0.0009006740994739734
4,expovariate,lognormal,False,False,9.281090404935966,10.27353904448847,0.0007950131537132954
4,expovariate,lognormal,False,False,14.642417449965938,15.637946183614861,0.000845980788445239
4,expovariate,lognormal,False,False,18.358683224655916,19.35914915654009,0.0009289942494802368
4,expovariate,lognormal,False,False,23.090165983183482,24.088340393280806,0.0008261098596019477
4,expovariate,lognormal,False,False,17.83195545561426,18.83021733698068,0.0008987474529411614
4,expovariate,lognormal,False,False,24.847004332372546,25.84892757413951,0.0008451200264860892
1,expovariate,hyperexponential,False,False,8.852238114654321,9.767464837599336,0.0008114650907349756
1,expovariate,hyperexponential,False,False,13.504175916178362,14.43070178303966,0.0006243575598585301
1,expovariate,hyperexponential,False,False,7.8716030905543715,8.783757315830751,0.0008396488514187711
1,expovariate,hyperexponential,False,False,7.203755414272885,8.121996154234678,0.0007447104494064273
