method,num_samples,run,iterations,area
latin_hypercube,10201,1,100,1.5371042054700519
latin_hypercube,10201,2,100,1.5935692579158907
latin_hypercube,10201,3,100,1.623370257817861
latin_hypercube,10201,4,100,1.516714047642388
latin_hypercube,10201,5,100,1.5841584158415842
latin_hypercube,10201,6,100,1.497892363493775
latin_hypercube,10201,7,100,1.5245564160376435
latin_hypercube,10201,8,100,1.4822076267032644
latin_hypercube,10201,9,100,1.6123909420645035
latin_hypercube,10201,10,100,1.5872953631996862
latin_hypercube,10201,11,100,1.5449465738653074
latin_hypercube,10201,12,100,1.4649544162337025
latin_hypercube,10201,13,100,1.5888638368787373
latin_hypercube,10201,14,100,1.516714047642388
latin_hypercube,10201,15,100,1.496323889814724
latin_hypercube,10201,16,100,1.5684736790510734
latin_hypercube,10201,17,100,1.5496519949024605
latin_hypercube,10201,18,100,1.5323987844328988
latin_hypercube,10201,19,100,1.5888638368787373
latin_hypercube,10201,20,100,1.5276933633957455
latin_hypercube,10201,21,100,1.516714047642388
latin_hypercube,10201,22,100,1.47593373198706
latin_hypercube,10201,23,100,1.5261248897166944
latin_hypercube,10201,24,100,1.538672679149103
latin_hypercube,10201,25,100,1.6092539947064013
latin_hypercube,10201,26,100,1.5731791000882267
latin_hypercube,10201,27,100,1.5653367316929714
latin_hypercube,10201,28,100,1.5841584158415842
latin_hypercube,10201,29,100,1.4806391530242133
latin_hypercube,10201,30,100,1.579452994804431
latin_hypercube,10201,31,100,1.6108224683854524
latin_hypercube,10201,32,100,1.5700421527301245
latin_hypercube,10201,33,100,1.5512204685815116
latin_hypercube,10201,34,100,1.5214194686795413
latin_hypercube,10201,35,100,1.5967062052739927
latin_hypercube,10201,36,100,1.5763160474463287
latin_hypercube,10201,37,100,1.5308303107538477
latin_hypercube,10201,38,100,1.5998431526320949
latin_hypercube,10201,39,100,1.5669052053720223
latin_hypercube,10201,40,100,1.5920007842368396
latin_hypercube,10201,41,100,1.540241152828154
latin_hypercube,10201,42,100,1.579452994804431
latin_hypercube,10201,43,100,1.5653367316929714
latin_hypercube,10201,44,100,1.62180178413881
latin_hypercube,10201,45,100,1.5276933633957455
latin_hypercube,10201,46,100,1.518282521321439
latin_hypercube,10201,47,100,1.5841584158415842
latin_hypercube,10201,48,100,1.5025977845309284
latin_hypercube,10201,49,100,1.5700421527301245
latin_hypercube,10201,50,100,1.5512204685815116
latin_hypercube,10201,51,100,1.6280756788550141
latin_hypercube,10201,52,100,1.5700421527301245
latin_hypercube,10201,53,100,1.5621997843348692
latin_hypercube,10201,54,100,1.493186942456622
latin_hypercube,10201,55,100,1.5465150475443583
latin_hypercube,10201,56,100,1.4790706793451622
latin_hypercube,10201,57,100,1.5323987844328988
latin_hypercube,10201,58,100,1.5621997843348692
latin_hypercube,10201,59,100,1.5276933633957455
latin_hypercube,10201,60,100,1.6139594157435546
latin_hypercube,10201,61,100,1.6155278894226057
latin_hypercube,10201,62,100,1.4633859425546516
latin_hypercube,10201,63,100,1.5120086266052348
latin_hypercube,10201,64,100,1.5747475737672778
latin_hypercube,10201,65,100,1.4916184687775709
latin_hypercube,10201,66,100,1.560631310655818
latin_hypercube,10201,67,100,1.5449465738653074
latin_hypercube,10201,68,100,1.5496519949024605
latin_hypercube,10201,69,100,1.5418096265072052
latin_hypercube,10201,70,100,1.5151455739633368
latin_hypercube,10201,71,100,1.53396725811195
latin_hypercube,10201,72,100,1.5747475737672778
latin_hypercube,10201,73,100,1.5778845211253798
latin_hypercube,10201,74,100,1.5543574159396139
latin_hypercube,10201,75,100,1.5496519949024605
latin_hypercube,10201,76,100,1.5308303107538477
latin_hypercube,10201,77,100,1.5888638368787373
latin_hypercube,10201,78,100,1.5229879423585924
latin_hypercube,10201,79,100,1.4665228899127536
latin_hypercube,10201,80,100,1.5496519949024605
latin_hypercube,10201,81,100,1.5308303107538477
latin_hypercube,10201,82,100,1.540241152828154
latin_hypercube,10201,83,100,1.5574943632977158
latin_hypercube,10201,84,100,1.602980099990197
latin_hypercube,10201,85,100,1.5637682580139203
latin_hypercube,10201,86,100,1.5025977845309284
latin_hypercube,10201,87,100,1.6139594157435546
latin_hypercube,10201,88,100,1.5214194686795413
latin_hypercube,10201,89,100,1.5951377315949418
latin_hypercube,10201,90,100,1.5229879423585924
latin_hypercube,10201,91,100,1.5527889422605627
latin_hypercube,10201,92,100,1.472796784628958
latin_hypercube,10201,93,100,1.5433781001862563
latin_hypercube,10201,94,100,1.6280756788550141
latin_hypercube,10201,95,100,1.5527889422605627
latin_hypercube,10201,96,100,1.5433781001862563
latin_hypercube,10201,97,100,1.5292618370747966
latin_hypercube,10201,98,100,1.5418096265072052
latin_hypercube,10201,99,100,1.5480835212234094
latin_hypercube,10201,100,100,1.5073032055680815
latin_hypercube,10201,1,200,1.5245564160376435
latin_hypercube,10201,2,200,1.5371042054700519
latin_hypercube,10201,3,200,1.5088716792471326
latin_hypercube,10201,4,200,1.450838153122243
latin_hypercube,10201,5,200,1.4539751004803452
latin_hypercube,10201,6,200,1.5025977845309284
latin_hypercube,10201,7,200,1.5763160474463287
latin_hypercube,10201,8,200,1.5480835212234094
latin_hypercube,10201,9,200,1.5073032055680815
latin_hypercube,10201,10,200,1.5731791000882267
latin_hypercube,10201,11,200,1.5120086266052348
latin_hypercube,10201,12,200,1.5323987844328988
latin_hypercube,10201,13,200,1.516714047642388
latin_hypercube,10201,14,200,1.4696598372708558
latin_hypercube,10201,15,200,1.5543574159396139
latin_hypercube,10201,16,200,1.4806391530242133
latin_hypercube,10201,17,200,1.513577100284286
latin_hypercube,10201,18,200,1.4994608371728262
latin_hypercube,10201,19,200,1.5669052053720223
latin_hypercube,10201,20,200,1.5292618370747966
latin_hypercube,10201,21,200,1.5465150475443583
latin_hypercube,10201,22,200,1.4806391530242133
latin_hypercube,10201,23,200,1.516714047642388
latin_hypercube,10201,24,200,1.516714047642388
latin_hypercube,10201,25,200,1.5229879423585924
latin_hypercube,10201,26,200,1.5433781001862563
latin_hypercube,10201,27,200,1.581021468483482
latin_hypercube,10201,28,200,1.5371042054700519
latin_hypercube,10201,29,200,1.5198509950004901
latin_hypercube,10201,30,200,1.4916184687775709
latin_hypercube,10201,31,200,1.5010293108518773
latin_hypercube,10201,32,200,1.5088716792471326
latin_hypercube,10201,33,200,1.5261248897166944
latin_hypercube,10201,34,200,1.474365258308009
latin_hypercube,10201,35,200,1.493186942456622
latin_hypercube,10201,36,200,1.5559258896186647
latin_hypercube,10201,37,200,1.5621997843348692
latin_hypercube,10201,38,200,1.4947554161356729
latin_hypercube,10201,39,200,1.5700421527301245
latin_hypercube,10201,40,200,1.560631310655818
latin_hypercube,10201,41,200,1.5496519949024605
latin_hypercube,10201,42,200,1.5120086266052348
latin_hypercube,10201,43,200,1.5465150475443583
latin_hypercube,10201,44,200,1.6312126262131164
latin_hypercube,10201,45,200,1.4775022056661111
latin_hypercube,10201,46,200,1.4994608371728262
latin_hypercube,10201,47,200,1.5088716792471326
latin_hypercube,10201,48,200,1.5433781001862563
latin_hypercube,10201,49,200,1.516714047642388
latin_hypercube,10201,50,200,1.5496519949024605
latin_hypercube,10201,51,200,1.5198509950004901
latin_hypercube,10201,52,200,1.474365258308009
latin_hypercube,10201,53,200,1.5825899421625331
latin_hypercube,10201,54,200,1.5747475737672778
latin_hypercube,10201,55,200,1.516714047642388
latin_hypercube,10201,56,200,1.4665228899127536
latin_hypercube,10201,57,200,1.4226056268993237
latin_hypercube,10201,58,200,1.5323987844328988
latin_hypercube,10201,59,200,1.5292618370747966
latin_hypercube,10201,60,200,1.5245564160376435
latin_hypercube,10201,61,200,1.513577100284286
latin_hypercube,10201,62,200,1.581021468483482
latin_hypercube,10201,63,200,1.5449465738653074
latin_hypercube,10201,64,200,1.5198509950004901
latin_hypercube,10201,65,200,1.497892363493775
latin_hypercube,10201,66,200,1.4822076267032644
latin_hypercube,10201,67,200,1.5716106264091756
latin_hypercube,10201,68,200,1.5229879423585924
latin_hypercube,10201,69,200,1.513577100284286
latin_hypercube,10201,70,200,1.5543574159396139
latin_hypercube,10201,71,200,1.5559258896186647
latin_hypercube,10201,72,200,1.4837761003823156
latin_hypercube,10201,73,200,1.5778845211253798
latin_hypercube,10201,74,200,1.559062836976767
latin_hypercube,10201,75,200,1.516714047642388
latin_hypercube,10201,76,200,1.5229879423585924
latin_hypercube,10201,77,200,1.5276933633957455
latin_hypercube,10201,78,200,1.5151455739633368
latin_hypercube,10201,79,200,1.5151455739633368
latin_hypercube,10201,80,200,1.5480835212234094
latin_hypercube,10201,81,200,1.5700421527301245
latin_hypercube,10201,82,200,1.5151455739633368
latin_hypercube,10201,83,200,1.5292618370747966
latin_hypercube,10201,84,200,1.5716106264091756
latin_hypercube,10201,85,200,1.493186942456622
latin_hypercube,10201,86,200,1.5684736790510734
