method,sample_size,run,area
orthogonal_circle,100,1,1.5079644737231013
orthogonal_circle,100,2,1.6964600329384887
orthogonal_circle,100,3,1.7592918860102846
orthogonal_circle,100,4,1.5079644737231013
orthogonal_circle,100,5,1.4451326206513053
orthogonal_circle,100,6,1.4451326206513053
orthogonal_circle,100,7,1.5079644737231013
orthogonal_circle,100,8,1.3823007675795094
orthogonal_circle,100,9,1.5079644737231013
orthogonal_circle,100,10,1.570796326794897
orthogonal_circle,100,11,1.633628179866693
orthogonal_circle,100,12,1.633628179866693
orthogonal_circle,100,13,1.3823007675795094
orthogonal_circle,100,14,1.3823007675795094
orthogonal_circle,100,15,1.4451326206513053
orthogonal_circle,100,16,1.5079644737231013
orthogonal_circle,100,17,1.5079644737231013
orthogonal_circle,100,18,1.633628179866693
orthogonal_circle,100,19,1.3823007675795094
orthogonal_circle,100,20,1.570796326794897
orthogonal_circle,100,21,1.1938052083641217
orthogonal_circle,100,22,1.5079644737231013
orthogonal_circle,100,23,1.3823007675795094
orthogonal_circle,100,24,1.4451326206513053
orthogonal_circle,100,25,1.570796326794897
orthogonal_circle,100,26,1.5079644737231013
orthogonal_circle,100,27,1.570796326794897
orthogonal_circle,100,28,1.3194689145077134
orthogonal_circle,100,29,1.570796326794897
orthogonal_circle,100,30,1.570796326794897
orthogonal_circle,100,31,1.570796326794897
orthogonal_circle,100,32,1.570796326794897
orthogonal_circle,100,33,1.5079644737231013
orthogonal_circle,100,34,1.570796326794897
orthogonal_circle,100,35,1.3823007675795094
orthogonal_circle,100,36,1.570796326794897
orthogonal_circle,100,37,1.570796326794897
orthogonal_circle,100,38,1.4451326206513053
orthogonal_circle,100,39,1.3823007675795094
orthogonal_circle,100,40,1.5079644737231013
orthogonal_circle,100,41,1.5079644737231013
orthogonal_circle,100,42,1.5079644737231013
orthogonal_circle,100,43,1.6964600329384887
orthogonal_circle,100,44,1.3823007675795094
orthogonal_circle,100,45,1.570796326794897
orthogonal_circle,100,46,1.633628179866693
orthogonal_circle,100,47,1.570796326794897
orthogonal_circle,100,48,1.633628179866693
orthogonal_circle,100,49,1.570796326794897
orthogonal_circle,100,50,1.3823007675795094
orthogonal_circle,100,51,1.3194689145077134
orthogonal_circle,100,52,1.4451326206513053
orthogonal_circle,100,53,1.5079644737231013
orthogonal_circle,100,54,1.06814150222053
orthogonal_circle,100,55,1.5079644737231013
orthogonal_circle,100,56,1.570796326794897
orthogonal_circle,100,57,1.5079644737231013
orthogonal_circle,100,58,1.570796326794897
orthogonal_circle,100,59,1.4451326206513053
orthogonal_circle,100,60,1.633628179866693
orthogonal_circle,100,61,1.3823007675795094
orthogonal_circle,100,62,1.4451326206513053
orthogonal_circle,100,63,1.4451326206513053
orthogonal_circle,100,64,1.4451326206513053
orthogonal_circle,100,65,1.3194689145077134
orthogonal_circle,100,66,1.1938052083641217
orthogonal_circle,100,67,1.4451326206513053
orthogonal_circle,100,68,1.6964600329384887
orthogonal_circle,100,69,1.5079644737231013
orthogonal_circle,100,70,1.5079644737231013
orthogonal_circle,100,71,1.570796326794897
orthogonal_circle,100,72,1.3823007675795094
orthogonal_circle,100,73,1.5079644737231013
orthogonal_circle,100,74,1.3823007675795094
orthogonal_circle,100,75,1.3823007675795094
orthogonal_circle,100,76,1.570796326794897
orthogonal_circle,100,77,1.5079644737231013
orthogonal_circle,100,78,1.4451326206513053
orthogonal_circle,100,79,1.3823007675795094
orthogonal_circle,100,80,1.570796326794897
orthogonal_circle,100,81,1.4451326206513053
orthogonal_circle,100,82,1.3823007675795094
orthogonal_circle,100,83,1.7592918860102846
orthogonal_circle,100,84,1.3194689145077134
orthogonal_circle,100,85,1.4451326206513053
orthogonal_circle,100,86,1.570796326794897
orthogonal_circle,100,87,1.5079644737231013
orthogonal_circle,100,88,1.5079644737231013
orthogonal_circle,100,89,1.3194689145077134
orthogonal_circle,100,90,1.3823007675795094
orthogonal_circle,100,91,1.3823007675795094
orthogonal_circle,100,92,1.3823007675795094
orthogonal_circle,100,93,1.5079644737231013
orthogonal_circle,100,94,1.3194689145077134
orthogonal_circle,100,95,1.3823007675795094
orthogonal_circle,100,96,1.5079644737231013
orthogonal_circle,100,97,1.5079644737231013
orthogonal_circle,100,98,1.2566370614359175
orthogonal_circle,100,99,1.4451326206513053
orthogonal_circle,100,100,1.3823007675795094
orthogonal_circle,10000,1,1.5136193404995628
orthogonal_circle,10000,2,1.5161326146224345
orthogonal_circle,10000,3,1.5186458887453063
orthogonal_circle,10000,4,1.509849429315255
orthogonal_circle,10000,5,1.5029379254773574
orthogonal_circle,10000,6,1.5073361551923832
orthogonal_circle,10000,7,1.5016812884159214
orthogonal_circle,10000,8,1.5111060663766909
orthogonal_circle,10000,9,1.5048228810695112
orthogonal_circle,10000,10,1.5117343849074087
orthogonal_circle,10000,11,1.5060795181309474
orthogonal_circle,10000,12,1.5035662440080755
orthogonal_circle,10000,13,1.5054511996002293
orthogonal_circle,10000,14,1.5048228810695112
orthogonal_circle,10000,15,1.5085927922538191
orthogonal_circle,10000,16,1.5136193404995628
orthogonal_circle,10000,17,1.507964473723101
orthogonal_circle,10000,18,1.5073361551923832
orthogonal_circle,10000,19,1.5155042960917167
orthogonal_circle,10000,20,1.5111060663766909
orthogonal_circle,10000,21,1.5136193404995628
orthogonal_circle,10000,22,1.5085927922538191
orthogonal_circle,10000,23,1.5073361551923832
orthogonal_circle,10000,24,1.4997963328237676
orthogonal_circle,10000,25,1.5117343849074087
orthogonal_circle,10000,26,1.5161326146224345
orthogonal_circle,10000,27,1.5073361551923832
orthogonal_circle,10000,28,1.5123627034381268
orthogonal_circle,10000,29,1.5136193404995628
orthogonal_circle,10000,30,1.512991021968845
orthogonal_circle,10000,31,1.5117343849074087
orthogonal_circle,10000,32,1.509849429315255
orthogonal_circle,10000,33,1.512991021968845
orthogonal_circle,10000,34,1.509849429315255
orthogonal_circle,10000,35,1.4972830587008958
orthogonal_circle,10000,36,1.5117343849074087
orthogonal_circle,10000,37,1.5230441184603323
orthogonal_circle,10000,38,1.509849429315255
orthogonal_circle,10000,39,1.5123627034381268
orthogonal_circle,10000,40,1.509221110784537
orthogonal_circle,10000,41,1.509221110784537
orthogonal_circle,10000,42,1.510477747845973
orthogonal_circle,10000,43,1.5186458887453063
orthogonal_circle,10000,44,1.5048228810695112
orthogonal_circle,10000,45,1.5041945625387934
orthogonal_circle,10000,46,1.509221110784537
orthogonal_circle,10000,47,1.5117343849074087
orthogonal_circle,10000,48,1.5085927922538191
orthogonal_circle,10000,49,1.5111060663766909
orthogonal_circle,10000,50,1.5111060663766909
orthogonal_circle,10000,51,1.510477747845973
orthogonal_circle,10000,52,1.5167609331531524
orthogonal_circle,10000,53,1.507964473723101
orthogonal_circle,10000,54,1.5155042960917167
orthogonal_circle,10000,55,1.507964473723101
orthogonal_circle,10000,56,1.5155042960917167
orthogonal_circle,10000,57,1.510477747845973
orthogonal_circle,10000,58,1.5023096069466395
orthogonal_circle,10000,59,1.510477747845973
orthogonal_circle,10000,60,1.5048228810695112
orthogonal_circle,10000,61,1.5060795181309474
orthogonal_circle,10000,62,1.5148759775609986
orthogonal_circle,10000,63,1.5155042960917167
orthogonal_circle,10000,64,1.509849429315255
orthogonal_circle,10000,65,1.5117343849074087
orthogonal_circle,10000,66,1.5192742072760244
orthogonal_circle,10000,67,1.5048228810695112
orthogonal_circle,10000,68,1.5029379254773574
orthogonal_circle,10000,69,1.5167609331531524
orthogonal_circle,10000,70,1.5123627034381268
orthogonal_circle,10000,71,1.5073361551923832
orthogonal_circle,10000,72,1.507964473723101
orthogonal_circle,10000,73,1.506707836661665
orthogonal_circle,10000,74,1.5167609331531524
orthogonal_circle,10000,75,1.512991021968845
orthogonal_circle,10000,76,1.5111060663766909
orthogonal_circle,10000,77,1.510477747845973
orthogonal_circle,10000,78,1.512991021968845
orthogonal_circle,10000,79,1.5117343849074087
orthogonal_circle,10000,80,1.507964473723101
orthogonal_circle,10000,81,1.509221110784537
orthogonal_circle,10000,82,1.5048228810695112
orthogonal_circle,10000,83,1.509221110784537
orthogonal_circle,10000,84,1.512991021968845
orthogonal_circle,10000,85,1.5029379254773574
orthogonal_circle,10000,86,1.5136193404995628
orthogonal_circle,10000,87,1.5060795181309474
orthogonal_circle,10000,88,1.5142476590302807
orthogonal_circle,10000,89,1.507964473723101
orthogonal_circle,10000,90,1.5054511996002293
orthogonal_circle,10000,91,1.5060795181309474
orthogonal_circle,10000,92,1.5016812884159214
orthogonal_circle,10000,93,1.506707836661665
orthogonal_circle,10000,94,1.5117343849074087
orthogonal_circle,10000,95,1.5085927922538191
orthogonal_circle,10000,96,1.5117343849074087
orthogonal_circle,10000,97,1.5117343849074087
orthogonal_circle,10000,98,1.5161326146224345
orthogonal_circle,10000,99,1.5136193404995628
orthogonal_circle,10000,100,1.5136193404995628
orthogonal_circle,1000000,1,1.5099122611683267
orthogonal_circle,1000000,2,1.5099939425773201
orthogonal_circle,1000000,3,1.5096860664972684
orthogonal_circle,1000000,4,1.5098682788711766
orthogonal_circle,1000000,5,1.5099939425773201
orthogonal_circle,1000000,6,1.5095604027911247
orthogonal_circle,1000000,7,1.5096797833119613
orthogonal_circle,1000000,8,1.5099562434654772
orthogonal_circle,1000000,9,1.5092336771551516
orthogonal_circle,1000000,10,1.5099625266507843
orthogonal_circle,1000000,11,1.5096797833119613
orthogonal_circle,1000000,12,1.5099939425773201
orthogonal_circle,1000000,13,1.50994996028017
orthogonal_circle,1000000,14,1.5096358010148108
orthogonal_circle,1000000,15,1.5096609337560396
orthogonal_circle,1000000,16,1.5093907567878309
orthogonal_circle,1000000,17,1.5097300487944185
orthogonal_circle,1000000,18,1.5095478364205104
orthogonal_circle,1000000,19,1.5092776594523016
orthogonal_circle,1000000,20,1.5100127921332416
orthogonal_circle,1000000,21,1.50950385412336
orthogonal_circle,1000000,22,1.5099750930213987
orthogonal_circle,1000000,23,1.50970491605319
orthogonal_circle,1000000,24,1.50974889835034
orthogonal_circle,1000000,25,1.5094787213821312
orthogonal_circle,1000000,26,1.5099939425773201
orthogonal_circle,1000000,27,1.5099562434654772
orthogonal_circle,1000000,28,1.5099562434654772
orthogonal_circle,1000000,29,1.5093090753788376
orthogonal_circle,1000000,30,1.5096860664972684
orthogonal_circle,1000000,31,1.5100819071716207
orthogonal_circle,1000000,32,1.5098431461299477
orthogonal_circle,1000000,33,1.5093719072319094
orthogonal_circle,1000000,34,1.5099373939095557
orthogonal_circle,1000000,35,1.5098619956858694
orthogonal_circle,1000000,36,1.5098180133887191
orthogonal_circle,1000000,37,1.50950385412336
orthogonal_circle,1000000,38,1.5095101373086675
orthogonal_circle,1000000,39,1.5096923496825756
orthogonal_circle,1000000,40,1.5097614647209545
orthogonal_circle,1000000,41,1.5099185443536338
orthogonal_circle,1000000,42,1.5092336771551516
orthogonal_circle,1000000,43,1.5097740310915688
orthogonal_circle,1000000,44,1.5096797833119613
orthogonal_circle,1000000,45,1.5100127921332416
orthogonal_circle,1000000,46,1.509880845241791
orthogonal_circle,1000000,47,1.5096735001266541
orthogonal_circle,1000000,48,1.5100127921332416
orthogonal_circle,1000000,49,1.5096358010148108
orthogonal_circle,1000000,50,1.5094535886409026
orthogonal_circle,1000000,51,1.5096797833119613
orthogonal_circle,1000000,52,1.5098054470181048
