method,num_samples,run,iterations,area
uniform_circle,10201,1,100,1.5423091862736682
uniform_circle,10201,2,100,1.5533960733954437
uniform_circle,10201,3,100,1.4998094523068617
uniform_circle,10201,4,100,1.5096644630817733
uniform_circle,10201,5,100,1.5306063609784606
uniform_circle,10201,6,100,1.5078166485614775
uniform_circle,10201,7,100,1.622997086993257
uniform_circle,10201,8,100,1.569410465904675
uniform_circle,10201,9,100,1.5355338663659164
uniform_circle,10201,10,100,1.523831041070709
uniform_circle,10201,11,100,1.5657148368640832
uniform_circle,10201,12,100,1.5521641970485798
uniform_circle,10201,13,100,1.5620192078234914
uniform_circle,10201,14,100,1.5663307750375153
uniform_circle,10201,15,100,1.5244469792441409
uniform_circle,10201,16,100,1.545388877140828
uniform_circle,10201,17,100,1.5435410626205321
uniform_circle,10201,18,100,1.5330701136721885
uniform_circle,10201,19,100,1.5866567347607705
uniform_circle,10201,20,100,1.5540120115688756
uniform_circle,10201,21,100,1.5244469792441409
uniform_circle,10201,22,100,1.5829611057201785
uniform_circle,10201,23,100,1.5614032696500595
uniform_circle,10201,24,100,1.547852629834556
uniform_circle,10201,25,100,1.547852629834556
uniform_circle,10201,26,100,1.5804973530264506
uniform_circle,10201,27,100,1.571874218598403
uniform_circle,10201,28,100,1.547236691661124
uniform_circle,10201,29,100,1.5607873314766274
uniform_circle,10201,30,100,1.5663307750375153
uniform_circle,10201,31,100,1.5250629174175727
uniform_circle,10201,32,100,1.569410465904675
uniform_circle,10201,33,100,1.5860407965873384
uniform_circle,10201,34,100,1.5269107319378687
uniform_circle,10201,35,100,1.5570917024360356
uniform_circle,10201,36,100,1.547852629834556
uniform_circle,10201,37,100,1.5299904228050285
uniform_circle,10201,38,100,1.547852629834556
uniform_circle,10201,39,100,1.5256788555910048
uniform_circle,10201,40,100,1.5731060949452669
uniform_circle,10201,41,100,1.5293744846315966
uniform_circle,10201,42,100,1.490570379705382
uniform_circle,10201,43,100,1.5121282157755014
uniform_circle,10201,44,100,1.5638670223437872
uniform_circle,10201,45,100,1.5774176621592908
uniform_circle,10201,46,100,1.570642342251539
uniform_circle,10201,47,100,1.5515482588751477
uniform_circle,10201,48,100,1.571258280424971
uniform_circle,10201,49,100,1.5429251244471
uniform_circle,10201,50,100,1.5490845061814198
uniform_circle,10201,51,100,1.547852629834556
uniform_circle,10201,52,100,1.5343019900190524
uniform_circle,10201,53,100,1.5632510841703553
uniform_circle,10201,54,100,1.498577575959998
uniform_circle,10201,55,100,1.6051348799637297
uniform_circle,10201,56,100,1.5774176621592908
uniform_circle,10201,57,100,1.5423091862736682
uniform_circle,10201,58,100,1.5497004443548517
uniform_circle,10201,59,100,1.493650070572542
uniform_circle,10201,60,100,1.5552438879157395
uniform_circle,10201,61,100,1.5250629174175727
uniform_circle,10201,62,100,1.5182875975098211
uniform_circle,10201,63,100,1.519519473856685
uniform_circle,10201,64,100,1.5891204874544982
uniform_circle,10201,65,100,1.5934320546685221
uniform_circle,10201,66,100,1.5515482588751477
uniform_circle,10201,67,100,1.5379976190596443
uniform_circle,10201,68,100,1.5145919684692293
uniform_circle,10201,69,100,1.5312222991518925
uniform_circle,10201,70,100,1.59281611649509
uniform_circle,10201,71,100,1.5386135572330764
uniform_circle,10201,72,100,1.5540120115688756
uniform_circle,10201,73,100,1.5299904228050285
uniform_circle,10201,74,100,1.5152079066426611
uniform_circle,10201,75,100,1.5065847722146135
uniform_circle,10201,76,100,1.5509323207017158
uniform_circle,10201,77,100,1.5312222991518925
uniform_circle,10201,78,100,1.5817292293733147
uniform_circle,10201,79,100,1.5515482588751477
uniform_circle,10201,80,100,1.5607873314766274
uniform_circle,10201,81,100,1.5349179281924843
uniform_circle,10201,82,100,1.5435410626205321
uniform_circle,10201,83,100,1.5761857858124269
uniform_circle,10201,84,100,1.490570379705382
uniform_circle,10201,85,100,1.5503163825282837
uniform_circle,10201,86,100,1.5540120115688756
uniform_circle,10201,87,100,1.5330701136721885
uniform_circle,10201,88,100,1.5811132911998826
uniform_circle,10201,89,100,1.5392294954065082
uniform_circle,10201,90,100,1.5139760302957972
uniform_circle,10201,91,100,1.5595554551297635
uniform_circle,10201,92,100,1.5078166485614775
uniform_circle,10201,93,100,1.496729761439702
uniform_circle,10201,94,100,1.5632510841703553
uniform_circle,10201,95,100,1.5287585464581648
uniform_circle,10201,96,100,1.5392294954065082
uniform_circle,10201,97,100,1.5207513502035488
uniform_circle,10201,98,100,1.5416932481002361
uniform_circle,10201,99,100,1.5429251244471
uniform_circle,10201,100,100,1.571874218598403
uniform_circle,10201,1,200,1.490570379705382
uniform_circle,10201,2,200,1.5022732050005896
uniform_circle,10201,3,200,1.5207513502035488
uniform_circle,10201,4,200,1.5379976190596443
uniform_circle,10201,5,200,1.4813313071039025
uniform_circle,10201,6,200,1.5343019900190524
uniform_circle,10201,7,200,1.5583235787828995
uniform_circle,10201,8,200,1.5379976190596443
uniform_circle,10201,9,200,1.4991935141334298
uniform_circle,10201,10,200,1.496729761439702
uniform_circle,10201,11,200,1.5669467132109471
uniform_circle,10201,12,200,1.5250629174175727
uniform_circle,10201,13,200,1.5392294954065082
uniform_circle,10201,14,200,1.594047992841954
uniform_circle,10201,15,200,1.5669467132109471
uniform_circle,10201,16,200,1.5145919684692293
uniform_circle,10201,17,200,1.565098898690651
uniform_circle,10201,18,200,1.5595554551297635
uniform_circle,10201,19,200,1.4708603581555588
uniform_circle,10201,20,200,1.5139760302957972
uniform_circle,10201,21,200,1.5429251244471
uniform_circle,10201,22,200,1.4807153689304704
uniform_circle,10201,23,200,1.5281426082847327
uniform_circle,10201,24,200,1.491802256052246
uniform_circle,10201,25,200,1.4998094523068617
uniform_circle,10201,26,200,1.5269107319378687
uniform_circle,10201,27,200,1.5275266701113006
uniform_circle,10201,28,200,1.523215102897277
uniform_circle,10201,29,200,1.517671659336389
uniform_circle,10201,30,200,1.5028891431740217
uniform_circle,10201,31,200,1.5429251244471
uniform_circle,10201,32,200,1.544157000793964
uniform_circle,10201,33,200,1.565098898690651
uniform_circle,10201,34,200,1.4881066270116543
uniform_circle,10201,35,200,1.5583235787828995
uniform_circle,10201,36,200,1.5607873314766274
uniform_circle,10201,37,200,1.5299904228050285
uniform_circle,10201,38,200,1.571258280424971
uniform_circle,10201,39,200,1.5275266701113006
uniform_circle,10201,40,200,1.4998094523068617
uniform_circle,10201,41,200,1.5010413286537256
uniform_circle,10201,42,200,1.5429251244471
uniform_circle,10201,43,200,1.5189035356832532
uniform_circle,10201,44,200,1.4979616377865659
uniform_circle,10201,45,200,1.4887225651850862
uniform_circle,10201,46,200,1.5170557211629572
uniform_circle,10201,47,200,1.5552438879157395
uniform_circle,10201,48,200,1.4819472452773343
uniform_circle,10201,49,200,1.5497004443548517
uniform_circle,10201,50,200,1.5589395169563314
uniform_circle,10201,51,200,1.490570379705382
uniform_circle,10201,52,200,1.5004253904802936
uniform_circle,10201,53,200,1.5410773099268043
uniform_circle,10201,54,200,1.5121282157755014
uniform_circle,10201,55,200,1.5423091862736682
uniform_circle,10201,56,200,1.54600481531426
uniform_circle,10201,57,200,1.5244469792441409
uniform_circle,10201,58,200,1.5133600921223653
uniform_circle,10201,59,200,1.5250629174175727
uniform_circle,10201,60,200,1.5115122776020693
uniform_circle,10201,61,200,1.5213672883769809
uniform_circle,10201,62,200,1.5490845061814198
uniform_circle,10201,63,200,1.5035050813474538
uniform_circle,10201,64,200,1.5139760302957972
uniform_circle,10201,65,200,1.5010413286537256
uniform_circle,10201,66,200,1.4788675544101746
uniform_circle,10201,67,200,1.519519473856685
uniform_circle,10201,68,200,1.4757878635430146
uniform_circle,10201,69,200,1.5084325867349095
uniform_circle,10201,70,200,1.5250629174175727
uniform_circle,10201,71,200,1.5558598260891716
uniform_circle,10201,72,200,1.53984543357994
uniform_circle,10201,73,200,1.5016572668271577
uniform_circle,10201,74,200,1.5225991647238448
uniform_circle,10201,75,200,1.5145919684692293
uniform_circle,10201,76,200,1.545388877140828
uniform_circle,10201,77,200,1.5447729389673959
uniform_circle,10201,78,200,1.5306063609784606
uniform_circle,10201,79,200,1.5497004443548517
uniform_circle,10201,80,200,1.4899544415319501
