trial,initial_temperature,cooling_factor,chain_length,best_length,iterations
0,754,0.9053976540960419,9681,2940.3088712154868,1326297
0,754,0.9053976540960419,9681,2890.239921696649,1326297
0,754,0.9053976540960419,9681,2891.907441089207,1326297
0,754,0.9053976540960419,9681,2890.9509008061787,1326297
0,754,0.9053976540960419,9681,2938.8034355240006,1326297
0,754,0.9053976540960419,9681,2873.1352542184986,1326297
0,754,0.9053976540960419,9681,2991.6746051005453,1326297
0,754,0.9053976540960419,9681,2919.233295687703,1326297
0,754,0.9053976540960419,9681,2824.8203249850453,1326297
0,754,0.9053976540960419,9681,2854.9870698557834,1326297
1,816,0.822278848225361,13691,2958.175365429672,958370
1,816,0.822278848225361,13691,2829.592090009559,958370
1,816,0.822278848225361,13691,2863.8051112251333,958370
1,816,0.822278848225361,13691,2949.131109036975,958370
1,816,0.822278848225361,13691,2920.257972312648,958370
1,816,0.822278848225361,13691,2853.7233486239215,958370
1,816,0.822278848225361,13691,2885.8825856437115,958370
1,816,0.822278848225361,13691,2903.86680394237,958370
1,816,0.822278848225361,13691,2823.2256214895683,958370
1,816,0.822278848225361,13691,2917.7339496740324,958370
2,133,0.8387001889485635,4707,3099.8481156055045,320076
2,133,0.8387001889485635,4707,3119.516621585871,320076
2,133,0.8387001889485635,4707,3152.7797390410797,320076
2,133,0.8387001889485635,4707,3152.979036671596,320076
2,133,0.8387001889485635,4707,3121.338827266164,320076
2,133,0.8387001889485635,4707,3060.7709845114314,320076
2,133,0.8387001889485635,4707,3030.819435142912,320076
2,133,0.8387001889485635,4707,2995.2021609156154,320076
2,133,0.8387001889485635,4707,3081.0944365364444,320076
2,133,0.8387001889485635,4707,3012.8067655276823,320076
3,224,0.8915181461915903,11234,2871.079962565905,1213272
3,224,0.8915181461915903,11234,2749.2621736092483,1213272
3,224,0.8915181461915903,11234,2932.687565720303,1213272
3,224,0.8915181461915903,11234,2924.7514535927744,1213272
3,224,0.8915181461915903,11234,2831.1781181257315,1213272
3,224,0.8915181461915903,11234,2841.7109827690438,1213272
3,224,0.8915181461915903,11234,2844.350251793206,1213272
3,224,0.8915181461915903,11234,2838.4784308782723,1213272
3,224,0.8915181461915903,11234,2982.7617441931243,1213272
3,224,0.8915181461915903,11234,2835.1694392402424,1213272
4,478,0.8984316277742006,7585,2904.8671783749182,932955
4,478,0.8984316277742006,7585,2913.3869223070233,932955
4,478,0.8984316277742006,7585,2921.941205613325,932955
4,478,0.8984316277742006,7585,2850.9963279886642,932955
4,478,0.8984316277742006,7585,2811.0691873512365,932955
4,478,0.8984316277742006,7585,2910.509854411593,932955
4,478,0.8984316277742006,7585,2937.428755594055,932955
4,478,0.8984316277742006,7585,2919.596750190979,932955
4,478,0.8984316277742006,7585,2924.60730188814,932955
4,478,0.8984316277742006,7585,2894.464399389418,932955
5,751,0.823789485093245,14865,2927.869961550439,1040550
5,751,0.823789485093245,14865,2910.5930079768027,1040550
5,751,0.823789485093245,14865,2850.3501525820298,1040550
5,751,0.823789485093245,14865,2813.2550314350324,1040550
5,751,0.823789485093245,14865,2934.6018633016793,1040550
5,751,0.823789485093245,14865,2868.247074224392,1040550
5,751,0.823789485093245,14865,2901.0384000696863,1040550
5,751,0.823789485093245,14865,2932.3357062822383,1040550
5,751,0.823789485093245,14865,2877.2486595921087,1040550
5,751,0.823789485093245,14865,2861.5933725471677,1040550
6,481,0.9492838180177641,13783,2778.1053573791755,3473316
6,481,0.9492838180177641,13783,2777.072734525037,3473316
6,481,0.9492838180177641,13783,2690.2525996701997,3473316
6,481,0.9492838180177641,13783,2825.625613446072,3473316
6,481,0.9492838180177641,13783,2867.2185879688363,3473316
6,481,0.9492838180177641,13783,2812.263821553234,3473316
6,481,0.9492838180177641,13783,2780.459535932691,3473316
6,481,0.9492838180177641,13783,2813.25722492343,3473316
6,481,0.9492838180177641,13783,2757.863462542704,3473316
6,481,0.9492838180177641,13783,2804.812118758024,3473316
7,143,0.8240881477919307,10904,3028.529103593147,676048
7,143,0.8240881477919307,10904,2899.9031029692906,676048
7,143,0.8240881477919307,10904,2982.9665633357204,676048
7,143,0.8240881477919307,10904,2945.3370825955335,676048
7,143,0.8240881477919307,10904,2892.551620983105,676048
7,143,0.8240881477919307,10904,2972.621560189338,676048
7,143,0.8240881477919307,10904,2997.6150837835576,676048
7,143,0.8240881477919307,10904,2894.315936045121,676048
